colors,R,G,B,color_mapped
#3B3C36,59,60,54,차콜
#3C69E7,60,105,231,블루
#2E5894,46,88,148,블루
#36454F,54,69,79,차콜
#2A52BE,42,82,190,블루
#2E2D88,46,45,136,네이비
#2F847C,47,132,124,그레이
#3B2F2F,59,47,47,차콜
#3B7A57,59,122,87,차콜
#3C1414,60,20,20,딥그린
#333399,51,51,153,블루
#2F4F4F,47,79,79,차콜
#26428B,38,66,139,블루
#318CE7,49,140,231,터쿼이즈
#301934,48,25,52,차콜
#246BCE,36,107,206,블루
#232B2B,35,43,43,딥그린
#1E90FF,30,144,255,터쿼이즈
#064E40,6,78,64,딥그린
#1560BD,21,96,189,블루
#1B1B1B,27,27,27,딥그린
#2243B6,34,67,182,블루
#1F75FE,31,117,254,블루
#0063dc,0,99,220,블루
#228B22,34,139,34,그린
#1B1811,27,24,17,딥그린
#1B4D3E,27,77,62,차콜
#1B4D3E,27,77,62,차콜
#1DACD6,29,172,214,터쿼이즈
#15F4EE,21,244,238,터쿼이즈
#1974D2,25,116,210,블루
#1A2421,26,36,33,딥그린
#177245,23,114,69,그린
#0247FE,2,71,254,블루
#1034A6,16,52,166,블루
#126180,18,97,128,블루
#0D98BA,13,152,186,블루
#03C03C,3,192,60,그린
#0048BA,0,72,186,블루
#000000,0,0,0,블랙
#006B3C,0,107,60,그린
#0093AF,0,147,175,블루
#004225,0,66,37,딥그린
#0087BD,0,135,189,블루
#0018A8,0,24,168,네이비
#0047AB,0,71,171,블루
#006A4E,0,106,78,그린
#0000FF,0,0,255,블루
#00563F,0,86,63,딥그린
#007FFF,0,127,255,블루
#00FFFF,0,255,255,터쿼이즈
#008000,0,128,0,그린
#007BA7,0,123,167,블루
#00BFFF,0,191,255,터쿼이즈
#00CC99,0,204,153,터쿼이즈
#007AA5,0,122,165,블루
#007BA7,0,123,167,블루
#00B7EB,0,183,235,터쿼이즈
#013220,1,50,32,딥그린
#008B8B,0,139,139,블루
#E49B0F,228,155,15,머스타드
#00CED1,0,206,209,터쿼이즈
#006400,0,100,0,그린
#DCDCDC,220,220,220,베이지
#004B49,0,75,73,딥그린
#0072BB,0,114,187,블루
#00009C,0,0,156,네이비
#014421,1,68,33,딥그린
#00BFFF,0,191,255,터쿼이즈
#00703C,0,112,60,그린
#00FF40,0,255,64,그린
#00FF00,0,255,0,그린
#AB92B3,171,146,179,라벤더
#6082B6,96,130,182,라벤더
#F8F8FF,248,248,255,화이트
#007F66,0,127,102,그린
#00AB66,0,171,102,그린
#85754E,133,117,78,그레이
#A57C00,165,124,0,올리브
#D4AF37,212,175,55,카멜
#E6BE8A,230,190,138,모카
#FFD700,255,215,0,옐로
#00FF00,0,255,0,그린
#FCC200,252,194,0,머스타드
#BEBEBE,190,190,190,라이트 그레이
#009F6B,0,159,107,그린
#DAA520,218,165,32,머스타드
#808080,128,128,128,그레이
#00A877,0,168,119,그린
#676767,103,103,103,그레이
#FFDF00,255,223,0,옐로
#996515,153,101,21,브라운
#1CAC78,28,172,120,터쿼이즈
#00AD43,0,173,67,그린
#008000,0,128,0,그린
#A8E4A0,168,228,160,민트
#66B032,102,176,50,올리브
#00A550,0,165,80,그린
#009966,0,153,102,그린
#2887C8,40,135,200,블루
#1164B4,17,100,180,블루
#A99A86,169,154,134,그레이
#6EAEA1,110,174,161,민트
#ADFF2F,173,255,47,라임
#F0E891,240,232,145,레몬
#A7F432,167,244,50,라임
#3FFF00,63,255,0,올리브
#E9D66B,233,214,107,모카
#5218FA,82,24,250,바이올렛
#446CCF,68,108,207,블루
#2a3439,42,52,57,차콜
#DF73FF,223,115,255,라벤더
#AA98A9,170,152,169,라벤더
#DA9100,218,145,0,머스타드
#F400A1,244,0,161,마젠타
#FF7A00,255,122,0,오렌지
#FF69B4,255,105,180,코랄
#FF1DCE,255,29,206,마젠타
#F0FFF0,240,255,240,화이트
#006DB0,0,109,176,블루
#49796B,73,121,107,그레이
#71A6D2,113,166,210,스카이블루
#319177,49,145,119,그레이
#FCF75E,252,247,94,레몬
#ED2939,237,41,57,레드
#355E3B,53,94,59,카키
#4C516D,76,81,109,차콜
#E3A857,227,168,87,코랄
#138808,19,136,8,그린
#B2EC5D,178,236,93,모카
#CD5C5C,205,92,92,카멜
#00416A,0,65,106,네이비
#4B0082,75,0,130,퍼플
#FF4F00,255,79,0,오렌지
#BA160C,186,22,12,레드
#002FA7,0,47,167,블루
#C0362C,192,54,44,레드
#5A4FCF,90,79,207,바이올렛
#FFFFF0,255,255,240,화이트
#00A86B,0,168,107,그린
#3AB09E,58,176,158,터쿼이즈
#29AB87,41,171,135,터쿼이즈
#F8DE7E,248,222,126,레몬
#4CBB17,76,187,23,올리브
#343434,52,52,52,차콜
#B3446C,179,68,108,마젠타
#B2FFFF,178,255,255,스카이블루
#F4F0EC,244,240,236,아이보리
#A50B5E,165,11,94,퍼플
#BDDA57,189,218,87,모카
#F4CA16,244,202,22,머스타드
#E8F48C,232,244,140,레몬
#F0E68C,240,230,140,레몬
#882D17,136,45,23,브라운
#C3B091,195,176,145,모카
#E79FC4,231,159,196,핑크
#26619C,38,97,156,블루
#A9BA9D,169,186,157,민트
#FFF0F5,255,240,245,화이트
#512888,81,40,136,퍼플
#6B4423,107,68,35,브라운
#D6CADD,214,202,221,라이트 그레이
#CCA01D,204,160,29,카멜
#354230,53,66,48,차콜
#CF1020,207,16,32,레드
#E6E6FA,230,230,250,화이트
#FFFF66,255,255,102,레몬
#B57EDC,181,126,220,라벤더
#FFF700,255,247,0,옐로
#CCCCFF,204,204,255,라이트 그레이
#C4C3D0,196,195,208,라이트 그레이
#7CFC00,124,252,0,라임
#FFFACD,255,250,205,아이보리
#FFF44F,255,244,79,레몬
#FDFF00,253,255,0,옐로
#F6EABE,246,234,190,베이지
#93CCEA,147,204,234,스카이블루
#D3D3D3,211,211,211,라이트 그레이
#FFA07A,255,160,122,코랄
#FFFF9F,255,255,159,레몬
#545AA7,84,90,167,그레이
#F08080,240,128,128,코랄
#ADD8E6,173,216,230,스카이블루
#FFFFE0,255,255,224,아이보리
#C8AD7F,200,173,127,모카
#FAFAD2,250,250,210,아이보리
#E0FFFF,224,255,255,화이트
#90EE90,144,238,144,민트
#20B2AA,32,178,170,터쿼이즈
#FED8B1,254,216,177,베이지
#FFB6C1,255,182,193,핑크
#C5CBE1,197,203,225,라이트 그레이
#B0C4DE,176,196,222,라이트 그레이
#87CEFA,135,206,250,스카이블루
#778899,119,136,153,그레이
#C8A2C8,200,162,200,라이트 그레이
#AE98AA,174,152,170,라벤더
#6CA0DC,108,160,220,스카이블루
#FAF0E6,250,240,230,아이보리
#BFFF00,191,255,0,라임
#195905,25,89,5,그린
#674C47,103,76,71,차콜
#DE6FA1,222,111,161,코랄
#C19A6B,193,154,107,모카
#32CD32,50,205,50,그린
#00FF00,0,255,0,그린
#B86D29,184,109,41,카멜
#987456,152,116,86,그레이
#6C2E1F,108,46,31,브라운
#6699CC,102,153,204,라벤더
#FFBD88,255,189,136,코랄
#CC3336,204,51,54,레드
#D0417E,208,65,126,마젠타
#CA1F7B,202,31,123,마젠타
#FF00FF,255,0,255,바이올렛
#F653A6,246,83,166,코랄
#FF0090,255,0,144,마젠타
#C04000,192,64,0,브라운
#9F4576,159,69,118,그레이
#AAF0D1,170,240,209,민트
#F8F4FF,248,244,255,화이트
#0BDA51,11,218,81,그린
#F2C649,242,198,73,코랄
#6050DC,96,80,220,바이올렛
#979AAA,151,154,170,라벤더
#B03060,176,48,96,마젠타
#880085,136,0,133,퍼플
#74C365,116,195,101,그레이
#FDBE02,253,190,2,머스타드
#F37A48,243,122,72,오렌지
#FF8243,255,130,67,오렌지
#C32148,195,33,72,마젠타
#E0B0FF,224,176,255,핑크
#EAA221,234,162,33,머스타드
#800000,128,0,0,버건디
#ACACE6,172,172,230,라이트 그레이
#66DDAA,102,221,170,민트
#A63A79,166,58,121,퍼플
#47ABCC,71,171,204,터쿼이즈
#30BFBF,48,191,191,터쿼이즈
#BA55D3,186,85,211,라벤더
#915F6D,145,95,109,그레이
#EF98AA,239,152,170,모카
#D92121,217,33,33,레드
#5E8C31,94,140,49,카키
#733380,115,51,128,퍼플
#D9E650,217,230,80,라임
#FAFA37,250,250,55,옐로
#73C2FB,115,194,251,스카이블루
#4C9141,76,145,65,카키
#F2BA49,242,186,73,코랄
#E2062C,226,6,44,레드
#AF4035,175,64,53,브라운
#0000CD,0,0,205,블루
#F3E5AB,243,229,171,베이지
#7B68EE,123,104,238,바이올렛
#3CB371,60,179,113,그레이
#9370DB,147,112,219,라벤더
#00FA9A,0,250,154,터쿼이즈
#48D1CC,72,209,204,터쿼이즈
#F8B878,248,184,120,코랄
#F8DE7E,248,222,126,레몬
#FEBAAD,254,186,173,핑크
#C71585,199,21,133,마젠타
#D3AF37,211,175,55,카멜
#0A7E8C,10,126,140,블루
#9C7C38,156,124,56,카멜
#7ED4E6,126,212,230,스카이블루
#8DD9CC,141,217,204,민트
#E4007C,228,0,124,마젠타
#8B72BE,139,114,190,라벤더
#4D8C57,77,140,87,그레이
#8B8680,139,134,128,그레이
#D982B5,217,130,181,라벤더
#ACBF60,172,191,96,모카
#FFEB00,255,235,0,옐로
#A55353,165,83,83,카멜
#E58E73,229,142,115,코랄
#702670,112,38,112,퍼플
#ECB176,236,177,118,코랄
#191970,25,25,112,네이비
#FFDAE9,255,218,233,아이보리
#E3F988,227,249,136,레몬
#FFC40C,255,196,12,머스타드
#004953,0,73,83,딥그린
#F5FFFA,245,255,250,화이트
#98FF98,152,255,152,민트
#3EB489,62,180,137,터쿼이즈
#F5E050,245,224,80,코랄
#36747D,54,116,125,그레이
#8DA399,141,163,153,그레이
#967117,150,113,23,올리브
#BBB477,187,180,119,모카
#8A9A5B,138,154,91,그레이
#FFE4E1,255,228,225,아이보리
#30BA8F,48,186,143,터쿼이즈
#997A8D,153,122,141,그레이
#C8509B,200,80,155,라벤더
#18453B,24,69,59,딥그린
#C54B8C,197,75,140,라벤더
#AD4379,173,67,121,그레이
#D65282,214,82,130,마젠타
