colors,R,G,B,color_mapped
#E032AF,224,50,175,마젠타
#E0CA00,224,202,0,머스타드
#E0D4BB,224,212,187,베이지
#E0D5DE,225,213,222,베이지
#E1A7CF,225,167,207,핑크
#E1BCD0,225,188,208,핑크
#E1BEA4,225,190,164,모카
#E1E400,225,228,0,라임
#E23828,226,56,40,레드
#E270CD,226,112,205,라벤더
#E2ABBF,226,171,191,핑크
#E2C1C8,226,193,200,핑크
#E2C9DA,226,201,218,핑크
#E2D973,226,217,115,모카
#E2E59F,226,229,157,레몬
#E34585,227,69,133,마젠타
#E3C0E6,227,192,230,핑크
#E3CBD0,227,203,208,핑크
#E3E1C1,227,225,193,베이지
#E40050,228,0,80,마젠타
#E44D6F,228,77,11,오렌지
#E47F00,228,127,0,머스타드
#E49969,228,153,105,코랄
#E4D2C5,228,210,197,베이지
#E4E400,228,228,0,라임
#E5239D,229,35,157,마젠타
#E54661,229,70,97,레드
#E54800,229,72,0,레드
#E55300,229,83,0,오렌지
#E58DA2,229,141,162,모카
#E5AE86,229,174,134,모카
#E5BFC7,229,191,199,핑크
#E5CAD9,229,202,217,핑크
#E5D1DF,229,209,223,핑크
#E5DB97,229,219,151,레몬
#E5E96E,229,233,110,레몬
#E61577,230,21,119,마젠타
#E653BC,230,83,188,라벤더
#E6A2E0,230,162,224,핑크
#E6C1DB,230,193,219,핑크
#E76F00,231,111,0,오렌지
#E7A7B6,231,167,182,핑크
#E7B9CA,231,185,202,핑크
#E7BADF,231,186,223,핑크
#E7CDD2,231,205,210,핑크
#E7E29A,231,226,154,레몬
#E7E3B5,231,227,181,베이지
#E86FB8,232,111,184,라벤더
#E87BAC,232,123,172,코랄
#E8B7E5,232,183,229,핑크
#E8CEBB,232,206,187,핑크
#E90649,233,6,73,마젠타
#E96B10,233,107,16,오렌지
#E9C2D1,233,194,209,핑크
#E9CCD2,233,204,210,핑크
#E9DC00,233,220,0,라임
#E9E6B4,223,230,180,베이지
#E9E73F,233,231,63,라임
#EA0437,234,4,55,레드
#EA12AF,234,18,175,마젠타
#EAD4E4,234,212,228,핑크
#EADB1B,234,219,27,라임
#EB9BB2,235,155,178,핑크
#EBAB00,235,171,0,머스타드
#EBADCD,235,173,205,핑크
#EBC6D3,235,198,211,핑크
#EBCAE3,235,202,227,핑크
#EBCDC3,235,205,195,핑크
#EBE9C3,235,233,195,베이지
#EC9384,236,147,132,코랄
#ECA9B9,236,169,185,핑크
#ECAB9D,236,171,157,모카
#ECBBAF,236,187,175,핑크
#ECBBDD,236,187,221,핑크
#ECC3A5,236,195,165,모카
#ECD6AF,236,214,175,베이지
#ECE100,236,225,0,옐로
#ED8000,237,128,0,머스타드
#ED9B4F,237,155,79,코랄
#EDB8C5,237,184,197,핑크
#EDB996,237,185,150,모카
#EDCFD7,237,207,215,핑크
#EDE25E,237,226,94,레몬
#EDEB8F,237,235,143,레몬
#EE86D3,238,134,211,핑크
#EEC5A9,238,197,169,핑크
#EEE88D,238,232,141,레몬
#EEEAA5,238,234,165,레몬
#EEEBB6,238,235,182,베이지
#EF40B0,239,64,176,마젠타
#EF6782,239,103,130,코랄
#EF6ABF,239,106,191,라벤더
#EFAA23,239,170,35,머스타드
#EFC18A,239,193,138,모카
#EFC3E4,239,195,228,핑크
#EFC4CE,239,196,206,핑크
#EFC868,239,200,104,코랄
#EFCFB8,239,207,184,베이지
#EFDF85,239,223,133,레몬
#EFE600,239,230,0,옐로
#F02233,240,34,51,레드
#F0C2CD,240,194,205,핑크
#F0D0BB,240,208,187,베이지
#F0EB7A,240,235,122,레몬
#F17C0E,241,124,14,오렌지
#F1AB00,241,171,0,머스타드
#F1BB46,241,187,70,코랄
#F1CD44,241,205,68,코랄
#F23F72,242,63,114,마젠타
#F2558A,242,85,138,코랄
#F293D1,242,147,209,핑크
#F2B0DF,242,176,223,핑크
#F2D65E,242,214,94,코랄
#F2D6DE,242,214,222,핑크
#F34E9A,243,78,154,코랄
#F3BCD4,243,188,212,핑크
#F3E2A7,243,226,167,베이지
#F3ED86,243,237,134,레몬
#F575C9,245,117,201,핑크
#F590A6,245,144,166,코랄
#F59BBD,245,155,189,핑크
#F5B0C1,245,176,193,핑크
#F5C7D4,245,199,212,핑크
#F5DD92,245,221,146,레몬
#F5EC62,245,236,98,레몬
#F6E761,246,231,97,레몬
#F7A7DB,247,167,219,핑크
#F85D7E,248,93,129,코랄
#F8779E,248,119,158,코랄
#F8A1BE,248,161,190,핑크
#F8B8CB,248,184,203,핑크
#F8D583,248,213,131,레몬
#F9425F,249,66,95,레드
#F9455B,249,69,91,레드
#F97DB8,249,125,184,핑크
#F9964A,249,150,74,코랄
#F9DF79,249,223,121,레몬
#FA9FCC,250,159,204,핑크
#FAAFC2,250,175,194,핑크
#FACDAE,250,205,174,핑크
#FAE051,250,224,81,코랄
#FAE15A,250,225,90,레몬
#FAE22F,250,226,47,옐로
#FAE600,250,230,0,옐로
#FB6581,251,101,129,코랄
#FBC399,251,195,153,모카
#FBCF8D,251,207,141,모카
#FBD09D,251,208,157,베이지
#FBDB6E,251,219,110,레몬
#FBDE4A,251,222,74,코랄
#FC8DA9,252,141,169,코랄
#FD4703,253,71,3,레드
#FDB179,253,177,121,코랄
#FDC3AA,253,195,170,핑크
#FDC745,253,199,69,코랄
#FDC87D,253,200,125,코랄
#FDD44F,253,212,79,코랄
#FE9DB0,254,157,176,핑크
#FEC688,254,198,136,코랄
#FEC85A,254,200,90,코랄
#FEDB00,254,219,0,옐로
#FF1CAC,255,28,172,마젠타
#FF3485,255,52,133,마젠타
#FF5200,255,82,0,오렌지
#FF585E,255,88,94,오렌지
#FF5B60,255,91,96,오렌지
#FF5F00,255,95,0,오렌지
#FF6141,255,97,65,오렌지
#FF6900,255,105,0,오렌지
#FF6C3B,255,108,59,오렌지
#FF7200,255,114,0,오렌지
#FF7300,255,115,0,오렌지
#FF7750,255,119,80,오렌지
#FF7E43,255,126,67,오렌지
#FF818C,255,129,140,코랄
#FF859A,255,133,154,코랄
#FF8642,255,134,66,오렌지
#FF897B,255,137,123,코랄
#FF8E70,255,142,112,코랄
#FF963B,255,150,59,오렌지
#FF9A00,255,154,0,머스타드
#FF9C71,255,156,113,코랄
#FF9F00,255,159,0,머스타드
#FFA243,255,162,67,코랄
#FFA28B,255,162,139,코랄
#FFA94F,255,169,79,코랄
#FFA97D,255,169,125,코랄
#FFACB9,255,172,185,핑크
#FFB300,255,179,0,머스타드
#FFB57B,255,181,123,코랄
#FFB6B1,255,182,177,핑크
#FFB754,255,183,84,코랄
#FFBC3A,255,188,58,머스타드
#FFBFA0,255,191,160,핑크
#FFC726,255,199,38,머스타드
#FFCE00,255,206,0,머스타드
#FFCE09,225,206,9,머스타드
#FFD100,255,209,0,머스타드
#FFE805,225,232,5,라임
#000000,0,0,0,블랙
#FFFFFF,255,255,255,화이트
#FAE7C4,250,231,196,베이지
#808080,128,128,128,그레이
#444445,68,68,69,차콜
#FFF8D9,255,248,217,아이보리
#C0C0C0,192,192,192,라이트 그레이
#EB3324,235,51,36,레드
#800020,128,0,32,버건디
#FFC0CB,255,192,203,핑크
#EE6423,238,100,35,오렌지
#BF8A3D,191,138,61,카멜
#FF00FF,214,0,110,마젠타
#FFA07A,255,160,122,코랄
#FFFF00,255,255,0,옐로
#FFFF99,255,255,153,레몬
#EAAA00,234,170,0,머스타드
#8B4513,139,69,19,브라운
#D2B48C,210,180,140,모카
#808000,128,128,0,올리브
#465626,70,86,38,카키
#0F6F0E,15,111,14,그린
#95D0AB,149,208,171,민트
#023020,2,48,32,딥그린
#40E0D0,64,224,208,터쿼이즈
#CEFA05,206,250,6,라임
#8A2BE2,138,43,226,바이올렛
#800080,128,0,128,퍼플
#9C81BB,156,129,187,라벤더
#0F45BC,15,69,188,블루
#87CEFA,135,206,250,스카이블루
#000080,0,0,128,네이비
