colors,R,G,B
#A16971,161,105,113
#A17C00,161,124,0
#A17E9A,161,126,154
#A1BBE4,161,187,228
#A1BDEA,161,189,234
#A1C3C9,161,195,201
#A22630,162,38,48
#A24A13,162,74,19
#A24CC8,162,76,200
#A24E12,162,78,18
#A276CC,162,118,204
#A29FE0,162,159,224
#A2DBEB,162,219,235
#A30059,163,0,89
#A392B7,163,146,183
#A4B1CD,164,177,205
#A4CEEC,164,206,236
#A4D867,164,216,103
#A59997,165,153,151
#A5B8C9,165,184,201
#A5D9EC,165,217,236
#A5DB92,165,219,146
#A6006B,166,0,107
#A67A00,166,122,0
#A6DEC1,166,222,193
#A70084,167,0,132
#A774CD,167,116,205
#A7AB74,167,171,116
#A7E6C4,167,230,196
#A83C0F,168,60,15
#A8ADB4,168,173,180
#A91BB0,169,27,176
#A9AAAB,169,170,171
#A9BDB6,169,189,182
#A9C7EC,169,199,236
#AA1054,170,16,84
#AA113F,170,17,63
#AA800E,170,128,14
#AA94DE,170,148,222
#AAA7C1,170,167,193
#AAB8B9,170,184,185
#AADAE5,170,218,229
#ABA200,171,162,0
#ABB400,171,180,0
#AC0481,172,4,129
#AC703D,172,112,61
#AC9600,172,150,0
#ACC7BD,172,199,189
#AD806C,173,128,108
#AD85BA,173,133,186
#ADA59D,173,165,157
#ADA86B,173,168,107
#ADACDC,173,172,220
#ADB291,173,178,145
#ADDDEB,173,221,235
#AE0055,174,0,85
#AE005F,174,0,95
#AF8F00,175,143,0
#B0232A,176,35,42
#B06876,176,104,118
#B10042,177,0,66
#B17F5C,177,127,92
#B195A6,177,149,166
#B1BCB5,177,188,181
#B1C5EA,177,197,234
#B1CBE5,177,203,229
#B279C8,178,121,200
#B28D7F,178,141,127
#B29200,178,146,0
#B2BC00,178,188,0
#B2C891,178,200,145
#B2E7DF,178,231,223
#B3009D,183,0,157
#B31B34,179,27,52
#B38A00,179,138,0
#B39D00,179,157,0
#B3BCC0,179,188,192
#B46B93,180,107,147
#B4A851,180,168,81
#B4DEDB,180,222,219
#B5A570,181,165,112
#B5B292,181,178,146
#B5B6B0,181,182,176
#B62A79,182,42,121
#B67100,182,113,0
#B75312,183,83,18
#B7848C,183,132,140
#B7A6AD,183,166,173
#B8749E,184,116,158
#B99C6B,185,156,107
#B9D0DC,185,208,220
#B9D300,182,211,0
#B9DCDA,185,220,218
#BA394E,186,57,78
#BABBBC,186,187,188
#BAE55F,186,229,95
#BB8900,187,137,0
#BB99DA,187,153,218
#BBA800,187,168,0
#BCA8E6,188,168,230
#BCCAD6,188,202,214
#BCE18D,188,225,141
#BD9ECA,189,158,202
#BDB8B1,189,184,177
#BDC2A9,189,194,169
#BDC5BF,189,197,191
#BDC6DA,189,198,218
#BDD0A0,189,208,160
#BDD0EE,186,208,238
#BDD2CC,189,210,204
#BEB800,190,184,0
#BED5D9,190,213,217
#BED9ED,190,217,373
#BFAFE4,191,175,228
#BFCBCC,191,203,204
#BFD0EA,191,208,234
